year,richter,region,deaths,lon,lat
3,5,Bosnia and Herzegovina,51590.0,18.26,43.52
4,5,Bosnia and Herzegovina,57480.0,18.26,43.52
5,5,Bosnia and Herzegovina,32510.0,18.26,43.52
6,5,Bosnia and Herzegovina,32250.0,18.26,43.52
7,5,Bosnia and Herzegovina,86970.0,18.26,43.52
8,5,Bosnia and Herzegovina,79410.0,18.26,43.52
9,5,Bosnia and Herzegovina,41260.0,18.26,43.52
10,5,Bosnia and Herzegovina,79980.0,18.26,43.52
11,5,Bosnia and Herzegovina,51520.0,18.26,43.52
12,5,Bosnia and Herzegovina,38170.0,18.26,43.52
1,6,Botswana,206040.0,25.57,-24.45
2,5,Botswana,42950.0,25.57,-24.45
3,6,Botswana,471460.0,25.57,-24.45
4,4,Botswana,5950.0,25.57,-24.45
5,5,Botswana,39290.0,25.57,-24.45
6,6,Botswana,207450.0,25.57,-24.45
7,5,Botswana,55740.0,25.57,-24.45
8,3,Botswana,400.0,25.57,-24.45
9,4,Botswana,3970.0,25.57,-24.45
10,5,Botswana,52040.0,25.57,-24.45
11,4,Botswana,3890.0,25.57,-24.45
12,5,Botswana,13930.0,25.57,-24.45
1,8,Brazil,31916280.0,-47.55,-15.47
2,8,Brazil,17764820.0,-47.55,-15.47
3,8,Brazil,10879430.0,-47.55,-15.47
4,7,Brazil,6943940.0,-47.55,-15.47
5,7,Brazil,8712910.0,-47.55,-15.47
6,8,Brazil,12208280.0,-47.55,-15.47
7,8,Brazil,11811360.0,-47.55,-15.47
8,7,Brazil,8928750.0,-47.55,-15.47
9,7,Brazil,5826490.0,-47.55,-15.47
10,7,Brazil,5117190.0,-47.55,-15.47
11,7,Brazil,7981820.0,-47.55,-15.47
12,8,Brazil,12304510.0,-47.55,-15.47
1,4,British Virgin Islands,9420.0,-64.37,18.27
2,3,British Virgin Islands,880.0,-64.37,18.27
3,4,British Virgin Islands,3770.0,-64.37,18.27
4,4,British Virgin Islands,1930.0,-64.37,18.27
5,4,British Virgin Islands,1920.0,-64.37,18.27
6,4,British Virgin Islands,7640.0,-64.37,18.27
7,2,British Virgin Islands,70.0,-64.37,18.27
8,4,British Virgin Islands,1840.0,-64.37,18.27
9,4,British Virgin Islands,1510.0,-64.37,18.27
10,0,British Virgin Islands,0.0,-64.37,18.27
11,4,British Virgin Islands,5570.0,-64.37,18.27
12,4,British Virgin Islands,3580.0,-64.37,18.27
1,5,Brunei,66330.0,115.0,4.52
2,6,Brunei,548620.0,115.0,4.52
3,6,Brunei,314610.0,115.0,4.52
4,6,Brunei,130490.0,115.0,4.52
5,6,Brunei,114700.0,115.0,4.52
6,6,Brunei,196640.0,115.0,4.52
7,6,Brunei,381870.0,115.0,4.52
8,6,Brunei,114630.0,115.0,4.52
9,6,Brunei,169640.0,115.0,4.52
10,6,Brunei,112480.0,115.0,4.52
11,6,Brunei,247040.0,115.0,4.52
12,6,Brunei,116440.0,115.0,4.52
1,7,Bulgaria,1736840.0,23.2,42.45
2,6,Bulgaria,733930.0,23.2,42.45
3,6,Bulgaria,431330.0,23.2,42.45
4,6,Bulgaria,313460.0,23.2,42.45
5,6,Bulgaria,230900.0,23.2,42.45
6,6,Bulgaria,174900.0,23.2,42.45
7,6,Bulgaria,466750.0,23.2,42.45
8,6,Bulgaria,365330.0,23.2,42.45
9,6,Bulgaria,265590.0,23.2,42.45
10,6,Bulgaria,305450.0,23.2,42.45
11,6,Bulgaria,246290.0,23.2,42.45
12,6,Bulgaria,179190.0,23.2,42.45
1,4,Burkina Faso,7680.0,-1.3,12.15
2,3,Burkina Faso,460.0,-1.3,12.15
3,4,Burkina Faso,1170.0,-1.3,12.15
4,5,Burkina Faso,10140.0,-1.3,12.15
5,2,Burkina Faso,60.0,-1.3,12.15
6,4,Burkina Faso,1450.0,-1.3,12.15
7,4,Burkina Faso,3290.0,-1.3,12.15
8,4,Burkina Faso,4840.0,-1.3,12.15
9,4,Burkina Faso,8210.0,-1.3,12.15
10,2,Burkina Faso,30.0,-1.3,12.15
11,3,Burkina Faso,100.0,-1.3,12.15
12,4,Burkina Faso,6310.0,-1.3,12.15
1,5,Burundi,17270.0,29.18,-3.16
2,5,Burundi,16830.0,29.18,-3.16
3,4,Burundi,6850.0,29.18,-3.16
4,5,Burundi,62510.0,29.18,-3.16
5,5,Burundi,16560.0,29.18,-3.16
6,5,Burundi,20990.0,29.18,-3.16
7,5,Burundi,39320.0,29.18,-3.16
8,5,Burundi,16490.0,29.18,-3.16
9,4,Burundi,9630.0,29.18,-3.16
10,5,Burundi,19340.0,29.18,-3.16
11,4,Burundi,9750.0,29.18,-3.16
12,4,Burundi,8020.0,29.18,-3.16
1,5,Cambodia,11210.0,104.55,11.33
2,5,Cambodia,78080.0,104.55,11.33
3,5,Cambodia,22180.0,104.55,11.33
4,4,Cambodia,8040.0,104.55,11.33
5,4,Cambodia,5370.0,104.55,11.33
6,4,Cambodia,5610.0,104.55,11.33
7,4,Cambodia,9460.0,104.55,11.33
8,5,Cambodia,10270.0,104.55,11.33
9,4,Cambodia,6890.0,104.55,11.33
10,4,Cambodia,7040.0,104.55,11.33
11,4,Cambodia,7070.0,104.55,11.33
12,4,Cambodia,9690.0,104.55,11.33
1,5,Cameroon,70520.0,11.35,3.5
2,4,Cameroon,5650.0,11.35,3.5
3,4,Cameroon,3040.0,11.35,3.5
4,0,Cameroon,0.0,11.35,3.5
5,4,Cameroon,1670.0,11.35,3.5
6,4,Cameroon,1210.0,11.35,3.5
7,5,Cameroon,17680.0,11.35,3.5
8,4,Cameroon,9210.0,11.35,3.5
9,0,Cameroon,0.0,11.35,3.5
10,5,Cameroon,19770.0,11.35,3.5
11,4,Cameroon,9990.0,11.35,3.5
12,4,Cameroon,7520.0,11.35,3.5
1,7,Canada,4906520.0,-75.42,45.27
2,7,Canada,1797300.0,-75.42,45.27
3,7,Canada,2032330.0,-75.42,45.27
4,7,Canada,3119420.0,-75.42,45.27
5,7,Canada,1600110.0,-75.42,45.27
6,7,Canada,1274250.0,-75.42,45.27
7,7,Canada,2001840.0,-75.42,45.27
8,7,Canada,1230830.0,-75.42,45.27
9,7,Canada,1275510.0,-75.42,45.27
10,7,Canada,1564820.0,-75.42,45.27
11,7,Canada,1094860.0,-75.42,45.27
12,7,Canada,1075890.0,-75.42,45.27
1,5,Cape Verde,40400.0,-23.34,15.02
2,4,Cape Verde,6570.0,-23.34,15.02
3,5,Cape Verde,10790.0,-23.34,15.02
4,5,Cape Verde,12840.0,-23.34,15.02
5,5,Cape Verde,17020.0,-23.34,15.02
6,5,Cape Verde,50800.0,-23.34,15.02
7,5,Cape Verde,21940.0,-23.34,15.02
8,5,Cape Verde,13210.0,-23.34,15.02
9,4,Cape Verde,5960.0,-23.34,15.02
10,5,Cape Verde,10150.0,-23.34,15.02
11,5,Cape Verde,15960.0,-23.34,15.02
12,4,Cape Verde,9040.0,-23.34,15.02
1,5,Cayman Islands,26700.0,-81.24,19.2
2,5,Cayman Islands,20110.0,-81.24,19.2
3,5,Cayman Islands,30310.0,-81.24,19.2
4,5,Cayman Islands,25830.0,-81.24,19.2
5,5,Cayman Islands,18880.0,-81.24,19.2
6,5,Cayman Islands,20640.0,-81.24,19.2
7,5,Cayman Islands,14410.0,-81.24,19.2
8,5,Cayman Islands,17890.0,-81.24,19.2
9,4,Cayman Islands,2810.0,-81.24,19.2
10,5,Cayman Islands,22820.0,-81.24,19.2
11,5,Cayman Islands,15230.0,-81.24,19.2
12,5,Cayman Islands,10910.0,-81.24,19.2
1,5,Central African Republic,12690.0,18.35,4.23
2,4,Central African Republic,1830.0,18.35,4.23
3,4,Central African Republic,3390.0,18.35,4.23
4,3,Central African Republic,950.0,18.35,4.23
5,4,Central African Republic,3380.0,18.35,4.23
6,3,Central African Republic,420.0,18.35,4.23
7,3,Central African Republic,820.0,18.35,4.23
8,3,Central African Republic,590.0,18.35,4.23
9,4,Central African Republic,1170.0,18.35,4.23
10,4,Central African Republic,3030.0,18.35,4.23
11,4,Central African Republic,2620.0,18.35,4.23
12,3,Central African Republic,990.0,18.35,4.23
1,5,Chad,10840.0,14.59,12.1
2,3,Chad,420.0,14.59,12.1
3,3,Chad,570.0,14.59,12.1
4,3,Chad,730.0,14.59,12.1
5,3,Chad,130.0,14.59,12.1
6,3,Chad,100.0,14.59,12.1
7,3,Chad,690.0,14.59,12.1
8,4,Chad,1010.0,14.59,12.1
9,3,Chad,290.0,14.59,12.1
10,4,Chad,3930.0,14.59,12.1
11,3,Chad,620.0,14.59,12.1
12,3,Chad,140.0,14.59,12.1
1,7,Chile,3957810.0,-70.4,-33.24
2,7,Chile,6052350.0,-70.4,-33.24
3,7,Chile,2968760.0,-70.4,-33.24
4,7,Chile,1589750.0,-70.4,-33.24
5,7,Chile,2222170.0,-70.4,-33.24
6,7,Chile,2816210.0,-70.4,-33.24
7,7,Chile,2500590.0,-70.4,-33.24
8,7,Chile,2432500.0,-70.4,-33.24
9,7,Chile,1691280.0,-70.4,-33.24
10,7,Chile,2178890.0,-70.4,-33.24
11,7,Chile,2055480.0,-70.4,-33.24
12,7,Chile,1844540.0,-70.4,-33.24
1,6,China,620260.0,116.2,39.55
2,6,China,898290.0,116.2,39.55
3,7,China,1242100.0,116.2,39.55
4,7,China,4110500.0,116.2,39.55
5,6,China,811730.0,116.2,39.55
6,6,China,581420.0,116.2,39.55
7,6,China,772960.0,116.2,39.55
8,7,China,1057670.0,116.2,39.55
9,6,China,798270.0,116.2,39.55
10,6,China,757000.0,116.2,39.55
11,7,China,5389510.0,116.2,39.55
12,7,China,1369320.0,116.2,39.55
1,7,Colombia,5082180.0,-74.0,4.34
2,6,Colombia,851180.0,-74.0,4.34
3,6,Colombia,339740.0,-74.0,4.34
4,6,Colombia,446490.0,-74.0,4.34
5,6,Colombia,393850.0,-74.0,4.34
6,6,Colombia,928590.0,-74.0,4.34
7,7,Colombia,1300540.0,-74.0,4.34
8,6,Colombia,566910.0,-74.0,4.34
9,6,Colombia,522450.0,-74.0,4.34
10,6,Colombia,390460.0,-74.0,4.34
11,6,Colombia,382700.0,-74.0,4.34
12,6,Colombia,587110.0,-74.0,4.34
1,4,Comoros,2920.0,43.16,-11.4
2,4,Comoros,2040.0,43.16,-11.4
3,4,Comoros,1410.0,43.16,-11.4
4,4,Comoros,2020.0,43.16,-11.4
5,4,Comoros,2990.0,43.16,-11.4
6,4,Comoros,1570.0,43.16,-11.4
7,4,Comoros,3360.0,43.16,-11.4
8,4,Comoros,1780.0,43.16,-11.4
9,3,Comoros,690.0,43.16,-11.4
10,4,Comoros,3440.0,43.16,-11.4
11,4,Comoros,1320.0,43.16,-11.4
12,4,Comoros,1130.0,43.16,-11.4
1,5,Congo,12870.0,15.12,-4.09
2,4,Congo,2090.0,15.12,-4.09
3,5,Congo,12100.0,15.12,-4.09
4,0,Congo,0.0,15.12,-4.09
5,2,Congo,80.0,15.12,-4.09
6,0,Congo,0.0,15.12,-4.09
7,5,Congo,13010.0,15.12,-4.09
8,0,Congo,0.0,15.12,-4.09
9,4,Congo,6570.0,15.12,-4.09
10,2,Congo,60.0,15.12,-4.09
11,4,Congo,6080.0,15.12,-4.09
12,0,Congo,0.0,15.12,-4.09
1,7,Costa Rica,1210530.0,-84.02,9.55
2,6,Costa Rica,776220.0,-84.02,9.55
3,6,Costa Rica,245630.0,-84.02,9.55
4,6,Costa Rica,284090.0,-84.02,9.55
5,6,Costa Rica,344030.0,-84.02,9.55
6,6,Costa Rica,118940.0,-84.02,9.55
7,7,Costa Rica,1412860.0,-84.02,9.55
8,6,Costa Rica,386150.0,-84.02,9.55
9,6,Costa Rica,404740.0,-84.02,9.55
10,6,Costa Rica,285900.0,-84.02,9.55
11,6,Costa Rica,228780.0,-84.02,9.55
12,6,Costa Rica,213440.0,-84.02,9.55
1,5,Cote d'Ivoire,36250.0,-5.17,6.49
2,5,Cote d'Ivoire,11420.0,-5.17,6.49
3,4,Cote d'Ivoire,3490.0,-5.17,6.49
4,5,Cote d'Ivoire,17750.0,-5.17,6.49
5,5,Cote d'Ivoire,17700.0,-5.17,6.49
6,5,Cote d'Ivoire,18670.0,-5.17,6.49
7,5,Cote d'Ivoire,19030.0,-5.17,6.49
8,5,Cote d'Ivoire,14150.0,-5.17,6.49
9,5,Cote d'Ivoire,11370.0,-5.17,6.49
10,4,Cote d'Ivoire,7690.0,-5.17,6.49
11,4,Cote d'Ivoire,4770.0,-5.17,6.49
12,4,Cote d'Ivoire,7080.0,-5.17,6.49
1,7,Croatia,1716030.0,15.58,45.5
2,6,Croatia,579620.0,15.58,45.5
3,6,Croatia,441450.0,15.58,45.5
4,6,Croatia,326190.0,15.58,45.5
5,6,Croatia,297350.0,15.58,45.5
6,6,Croatia,298060.0,15.58,45.5
7,6,Croatia,383440.0,15.58,45.5
8,6,Croatia,356970.0,15.58,45.5
9,6,Croatia,346220.0,15.58,45.5
10,6,Croatia,229980.0,15.58,45.5
11,6,Croatia,227400.0,15.58,45.5
12,6,Croatia,283850.0,15.58,45.5
1,6,Cuba,630630.0,-82.22,23.08
2,6,Cuba,135700.0,-82.22,23.08
3,6,Cuba,177800.0,-82.22,23.08
4,5,Cuba,89810.0,-82.22,23.08
5,5,Cuba,47250.0,-82.22,23.08
6,5,Cuba,46550.0,-82.22,23.08
7,5,Cuba,64530.0,-82.22,23.08
8,5,Cuba,58230.0,-82.22,23.08
9,5,Cuba,53410.0,-82.22,23.08
10,5,Cuba,49520.0,-82.22,23.08
11,5,Cuba,53100.0,-82.22,23.08
12,5,Cuba,53360.0,-82.22,23.08
1,6,Cyprus,622010.0,33.25,35.1
2,6,Cyprus,528400.0,33.25,35.1
3,6,Cyprus,948530.0,33.25,35.1
4,6,Cyprus,358240.0,33.25,35.1
5,6,Cyprus,188900.0,33.25,35.1
6,6,Cyprus,300860.0,33.25,35.1
7,6,Cyprus,444750.0,33.25,35.1
8,6,Cyprus,331100.0,33.25,35.1
9,6,Cyprus,223700.0,33.25,35.1
10,6,Cyprus,243450.0,33.25,35.1
11,6,Cyprus,192240.0,33.25,35.1
12,6,Cyprus,260660.0,33.25,35.1
1,7,Czechia,6294730.0,14.22,50.05
2,7,Czechia,3199240.0,14.22,50.05
3,7,Czechia,2514900.0,14.22,50.05
4,7,Czechia,1220620.0,14.22,50.05
5,6,Czechia,869530.0,14.22,50.05
6,6,Czechia,730300.0,14.22,50.05
7,6,Czechia,951110.0,14.22,50.05
8,7,Czechia,1098360.0,14.22,50.05
9,7,Czechia,1345380.0,14.22,50.05
10,7,Czechia,1027500.0,14.22,50.05
11,7,Czechia,1018090.0,14.22,50.05
12,6,Czechia,877400.0,14.22,50.05
1,5,Democratic Republic of Congo,40690.0,15.15,-4.2
2,5,Democratic Republic of Congo,11880.0,15.15,-4.2
3,4,Democratic Republic of Congo,5320.0,15.15,-4.2
4,5,Democratic Republic of Congo,49050.0,15.15,-4.2
5,5,Democratic Republic of Congo,22670.0,15.15,-4.2
6,5,Democratic Republic of Congo,13830.0,15.15,-4.2
7,4,Democratic Republic of Congo,6530.0,15.15,-4.2
8,4,Democratic Republic of Congo,4610.0,15.15,-4.2
9,4,Democratic Republic of Congo,3210.0,15.15,-4.2
10,5,Democratic Republic of Congo,20200.0,15.15,-4.2
11,5,Democratic Republic of Congo,18600.0,15.15,-4.2
12,4,Democratic Republic of Congo,7210.0,15.15,-4.2
1,7,Denmark,8097270.0,12.34,55.41
